Tanggal,Pintu Masuk,Jumlah Kunjungan
2018-11-01,Total,1157483.0
2018-11-01,Batam,155283.0
2018-11-01,Atambua,8207.0
2018-11-01,Entikong,1585.0
2018-11-01,Nanga Badau,1034.0
2018-11-01,Pintu Darat Lainnya,166994.0
2018-11-01,Jumlah (A+B+C),1157483.0
2018-11-01,Lainnya,
2018-11-01,Tanjung Uban,47833.0
2018-11-01,Aruk,1066.0
2018-12-01,Ngurah Rai,495641.0
2018-12-01,Juanda,26609.0
2018-12-01,Kualanamu,19966.0
2018-12-01,Husein Sastranegara,17311.0
2018-12-01,Adi Sucipto,10813.0
2018-12-01,Bandara Int. Lombok,3151.0
2018-12-01,Ahmad Yani,1930.0
2018-12-01,Sultan Syarif Kasim II,3013.0
2018-12-01,Sultan Iskandar Muda,1315.0
2018-12-01,A. Pintu Udara,825635.0
2018-12-01,Supadio,2033.0
2018-12-01,Hasanuddin,1406.0
2018-12-01,Pintu Udara Lainnya,2381.0
2018-12-01,Total,1405554.0
2018-12-01,Minangkabau,4801.0
2018-12-01,Lainnya,
2018-12-01,Soekarno-Hatta,224989.0
2018-12-01,Sultan Badaruddin II,1431.0
2018-12-01,Sam Ratulangi,8845.0
2018-12-01,Tanjung Uban,61258.0
2018-12-01,Tanjung Pinang,16020.0
2018-12-01,Tanjung Balai Karimun,9020.0
2018-12-01,Tanjung Benoa,3178.0
2018-12-01,Pintu Laut Lainnya,45685.0
2018-12-01,Jumlah (A+B+C),1405554.0
2018-12-01,Jayapura,3202.0
2018-12-01,Tanjung Mas,2315.0
2018-12-01,Entikong,3641.0
2018-12-01,Aruk,1125.0
2018-12-01,Nanga Badau,1826.0
2018-12-01,Pintu Darat Lainnya,185581.0
2018-12-01,Batam,233153.0
2018-12-01,C. Pintu Darat,209290.0
2018-12-01,B. Pintu Laut,370629.0
2018-12-01,Atambua,13915.0
2019-01-01,Adi Sucipto,8055.0
2019-01-01,B. Pintu Laut,304479.0
2019-01-01,Soekarno-Hatta,174963.0
2019-01-01,Juanda,13792.0
2019-01-01,Kualanamu,16253.0
2019-01-01,Husein Sastranegara,12524.0
